Model,length,Query Length,Hardware,Host,PUE,WUE (Site),WUE (Source),Size,Mean Max Energy (Wh),Mean Min Energy (Wh),Mean Max Carbon (gCO2e),Mean Min Carbon (gCO2e),"Mean Max Water (Site, mL)","Mean Min Water (Site, mL)","Mean Max Water (Source, mL)","Mean Min Water (Source, mL)",Energy Consumption of 1 Billion Prompts (MWh),Carbon Emissions of 1 Billion Prompts (TonsCO2e),Water Consumption of 1 Billion Prompts (Kiloliter),Household Energy Equiv. – 1B Prompts (MWh),People Annual Drinking Water Equiv. – 1B Prompts (kL),Gasoline Car Equiv. – 1B Prompts (TonsCO2e),Atlantic Flight Equiv. – 1B Prompts (TonsCO2e)
GPT-5 (high),Short,300,DGX H200/H100,Azure,1.12,0.3,4.35,Large,21.350961785457542,17.9710215452155,7.259327007055567,6.11014732537327,5.719007621104698,4.813666485325578,92.8766837667403,78.1739437216874,19660.99166533652,6684.737166214419,90791.650797429,17955.243529987692,75659.70899785751,1453.2037317857432,13.263367393282577
Claude 4.5 Sonnet,Short,300,DGX H200/H100,Anthropic,1.14,0.18,5.12,Large,5.126584157280372,4.315025958530687,1.5379752471841115,1.294507787559206,0.8094606564126904,0.6813198881890559,26.248110885275505,22.092932907677117,4720.80505790553,1416.2415173716588,24915.912168777184,4311.237495804137,20763.260140647653,307.8785907329693,2.810003010658053
GPT-5 (medium),Short,300,DGX H200/H100,Azure,1.12,0.3,4.35,Large,12.60157329481305,10.606695260863845,4.284534920236438,3.606276388693708,3.375421418253495,2.8410790877313867,54.81684383243675,46.13912438475772,11604.134277838448,3945.405654465073,53586.234361589675,10597.382902135569,44655.19530132473,857.6968814054507,7.828185822351334
DeepSeek V3.2,Short,300,DGX H800,DeepSeek,1.27,1.2,6.016,Large,13.92080728038496,11.717089378755114,8.352484368230975,7.030253627253067,13.15351869012752,11.07126555472924,83.7475765987959,70.49000970259075,12818.948329570036,7691.368997742022,89231.18527312172,11706.80212746122,74359.32106093477,1672.03673863957,15.260652773297664
Grok 4,Short,300,DGX H200/H100,xAI,1.5,0.36,3.142,Large,6.600807920336208,5.555874369696411,2.54131104932944,2.1390116323331183,1.5841939008806898,1.3334098487271382,20.739738485696364,17.456557269586117,6078.341145016309,2340.1613408312787,20556.94975244516,5550.9964794669495,17130.791460370965,508.73072626766935,4.643177263554125
GPT-5 mini (high),Short,300,DGX H200/H100,Azure,1.12,0.3,4.35,Medium,14.560550537797164,11.469997802042364,4.950587182851037,3.899799252694404,3.900147465481382,3.0723208398327757,63.33839483941767,49.89449043888428,13015.274169919763,4425.19321777272,60102.67679180804,11886.095132346816,50085.56399317337,961.9985256027652,8.780145273358572
Kimi K2 Thinking,Short,300,DGX H200/H100,AWS,1.14,0.18,5.12,Large,5.343893893843777,4.497934719129284,1.6031681681531331,1.3493804157387852,0.8437727200805966,0.7102002188098873,27.36073673648015,23.02942576194194,4920.914306486531,1476.2742919459597,25972.067718656283,4493.985668024229,21643.389765546905,320.92919390129555,2.9291156586229357
GPT-5 (low),Short,300,DGX H200/H100,Azure,1.12,0.3,4.35,Large,4.519045758658899,3.8036632498676672,1.536475557944026,1.293245504955007,1.2104586853550623,1.018838370500268,19.657849050166217,16.54593513692435,4161.354504263285,1414.8605314495169,19216.540621472952,3800.3237481856486,16013.78385122746,307.57837640206884,2.8072629592252314
GPT-5 mini (medium),Short,300,DGX H200/H100,Azure,1.12,0.3,4.35,Medium,3.206801604400306,2.526141251223741,1.0903125454961042,0.8588880254160718,0.8589647154643677,0.676644978006359,13.94958697914133,10.98871444282327,2866.4714278120227,974.600285456088,13236.955557717663,2617.7821258557287,11030.796298098054,211.86962727306263,1.933730725111286
Claude 4 Sonnet,Short,300,DGX H200/H100,Anthropic,1.14,0.18,5.12,Large,5.1150302673603765,4.30530109429414,1.534509080208113,1.291590328288242,0.80763635800427,0.679784383309601,26.188954968885128,22.04314160278599,4710.165680827257,1413.049704248177,24859.758656492497,4301.521169705258,20716.46554707708,307.1847183148211,2.8036700481114623
o3,Short,300,DGX H200/H100,Azure,1.12,0.3,4.35,Large,3.902510664384452,3.284728057443025,1.326853625890713,1.1168075395306287,1.0453153565315494,0.8798378725293816,16.975921390072365,14.28856704987716,3593.6193609137385,1221.830582710671,16594.820834505223,3281.8441652180263,13829.017362087689,265.6153440675372,2.424267029187839
